תאריך ,שעה,מספר שיעור,קישור לאירוע ביומן,מחיר להרשמה רגיל,מחיר להרשמה מאוחדת, ₪55.00, ₪20.00,מזהה אירוע ,קופון מלא,קופון מאוחדת,Link מחיר מלא ,Link מאוחדת 
28.10.2025,18:30,1,https://www.google.com/calendar/event?eid=aXJrOW5lbXBlM21xaTE1MGdiNDhoZ2JsaW8gbTA1Mjc2MTU1NzhAbQ," ₪1,890.00", ₪790.00, ₪0.00, ₪0.00,irk9nempe3mqi150gb48hgblio,lesson1f,lesson1m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]"
04.11.2025,18:30,2,https://www.google.com/calendar/event?eid=ajE4ODhtNDhwYmllZWRwM284bG9mb2FrMDggbTA1Mjc2MTU1NzhAbQ," ₪1,835.00", ₪770.00, ₪55.00, ₪20.00,j1888m48pbieedp3o8lofoak08,lesson2f,lesson2m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson2f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson2m"
11.11.2025,18:30,3,https://www.google.com/calendar/event?eid=ZGQ0Z2k3bGk5Mmd1djE3M2Q4NW05N3NkOWsgbTA1Mjc2MTU1NzhAbQ," ₪1,780.00", ₪750.00, ₪110.00, ₪40.00,dd4gi7li92guv173d85m97sd9k,lesson3f,lesson3m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson3f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson3m"
18.11.2025,18:30,4,https://www.google.com/calendar/event?eid=Z2VlZ3R1ZGZmNTI1amgwcXY4dWViazlzMzggbTA1Mjc2MTU1NzhAbQ," ₪1,725.00", ₪730.00, ₪165.00, ₪60.00,geegtudff525jh0qv8uebk9s38,lesson4f,lesson4m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson4f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson4m"
25.11.2025,18:30,5,https://www.google.com/calendar/event?eid=Ymg4Z2cyaWFjNXE2MmIxNWRkam5yN2I4b2MgbTA1Mjc2MTU1NzhAbQ," ₪1,670.00", ₪710.00, ₪220.00, ₪80.00,bh8gg2iac5q62b15ddjnr7b8oc,lesson5f,lesson5m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson5f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson5m"
02.12.2025,18:30,6,https://www.google.com/calendar/event?eid=azhoZ2U2bmVyMWRiYjM2NzhzYXU1M2prMzQgbTA1Mjc2MTU1NzhAbQ," ₪1,615.00", ₪690.00, ₪275.00, ₪100.00,k8hge6ner1dbb3678sau53jk34,lesson6f,lesson6m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson6f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson6m"
09.12.2025,18:30,7,https://www.google.com/calendar/event?eid=MTg5b2R2bjhwam41N2g5dGdzcDE1c21qYmsgbTA1Mjc2MTU1NzhAbQ," ₪1,560.00", ₪670.00, ₪330.00, ₪120.00,189odvn8pjn57h9tgsp15smjbk,lesson7f,lesson7m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson7f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson7m"
23.12.2025,18:30,8,https://www.google.com/calendar/event?eid=OTYyb2xwbnA4bzVhMWtwdXA3NW92dDQ5Nm8gbTA1Mjc2MTU1NzhAbQ," ₪1,505.00", ₪650.00, ₪385.00, ₪140.00,962olpnp8o5a1kpup75ovt496o,lesson8f,lesson8m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson8f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson8m"
30.12.2025,18:30,9,https://www.google.com/calendar/event?eid=NWFxdTJzbTE5NWJhMmVlYnV1dGk4OGY3MjQgbTA1Mjc2MTU1NzhAbQ," ₪1,450.00", ₪630.00, ₪440.00, ₪160.00,5aqu2sm195ba2eebuuti88f724,lesson9f,lesson9m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson9f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson9m"
06.01.2026,18:30,10,https://www.google.com/calendar/event?eid=Z2xqZmQyOWZxNDFscHFrdHFrbWdvb2sxazAgbTA1Mjc2MTU1NzhAbQ," ₪1,395.00", ₪610.00, ₪495.00, ₪180.00,gljfd29fq41lpqktqkmgook1k0,lesson10f,lesson10m,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson10f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson10m"
