date,link_full,link_partial
2025-10-28,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]"
2025-11-04,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson2f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson2m"
2025-11-11,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson3f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson3m"
2025-11-18,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson4f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson4m"
2025-11-25,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson5f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson5m"
2025-12-02,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson6f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson6m"
2025-12-09,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson7f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson7m"
2025-12-23,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson8f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson8m"
2025-12-30,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson9f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson9m"
2026-01-06,"https://pay.sumit.co.il/e5bzq5/ic788r/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson10f","https://pay.sumit.co.il/e5bzq5/ic7jaq/c/payment/?additems=1&name=[field id=""first_name""]%20[field id=""last_name""]&emailaddress=[field id=""email""]&phone=[field id=""parents_phone""]&companynumber=[field id=""id_number""]&couponcode=lesson10m"
